title,authors,year,keywords,abstract,venue
"Co-Design of AI Systems with Stakeholders","Jane Smith, John Doe",2023,"codesign, AI, participatory design","This paper explores methods for co-designing AI systems with end users and stakeholders.","CHI 2023"
"Machine Learning for Healthcare","Alice Johnson",2022,"machine learning, healthcare, AI","An overview of machine learning applications in healthcare settings.","JMIR 2022"
"Participatory Design in Smart Cities","Bob Wilson, Carol Lee",2021,"participatory design, smart cities, urban planning","Examining how codesign approaches can improve smart city initiatives.","DIS 2021"
"Deep Learning for Computer Vision","David Chen",2023,"deep learning, computer vision, neural networks","Novel architectures for computer vision tasks using deep learning.","CVPR 2023"
"Human-Centered AI Design","Emily Brown, Frank White",2022,"human-centered design, AI, ethics","A framework for designing AI systems with human values at the center.","FAccT 2022"
"Natural Language Processing Advances","Grace Taylor",2023,"NLP, transformers, large language models","Recent advances in natural language processing using transformer models.","ACL 2023"
"Collaborative AI for Design Teams","Henry Martinez, Iris Davis",2021,"collaborative design, AI, design tools","How AI can support collaborative design processes in creative teams.","CSCW 2021"
"Reinforcement Learning in Robotics","Jack Anderson",2022,"reinforcement learning, robotics, AI","Applications of reinforcement learning for robotic control.","ICRA 2022"
"Participatory Machine Learning","Kate Thompson, Leo Garcia",2023,"participatory design, machine learning, codesign","Engaging non-experts in the machine learning model development process.","CHI 2023"
"AI Ethics and Governance","Maria Rodriguez",2021,"AI ethics, governance, policy","Frameworks for ethical AI development and governance structures.","AIES 2021"
"Design Thinking and AI Innovation","Nathan Kim, Olivia Lopez",2022,"design thinking, AI, innovation","How design thinking methodologies can drive AI innovation.","Design Studies 2022"
"Computer Vision for Accessibility","Paul Young, Quinn Walker",2023,"computer vision, accessibility, AI","Using computer vision to improve accessibility for people with disabilities.","ASSETS 2023"
"Co-Creating AI with Communities","Rachel Green, Sam Hill",2022,"codesign, AI, community engagement","Participatory approaches to developing AI solutions with local communities.","PDC 2022"
"Explainable AI Systems","Tom Scott, Uma Patel",2021,"explainable AI, interpretability, transparency","Methods for making AI systems more explainable and interpretable.","IUI 2021"
"User-Centered Design for ML","Victor Chan, Wendy Moore",2023,"user-centered design, machine learning, UX","Applying UCD principles to machine learning system design.","DIS 2023"
